Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
106,22,6,4,4,Some Random Commen with Id 106
107,22,6,52,4,Some Random Commen with Id 107
108,22,6,72,5,Some Random Commen with Id 108
109,22,6,160,8,Some Random Commen with Id 109
110,23,5,191,4,Some Random Commen with Id 110
111,23,5,152,8,Some Random Commen with Id 111
112,23,5,56,9,Some Random Commen with Id 112
113,23,5,50,0,Some Random Commen with Id 113
114,23,5,24,0,Some Random Commen with Id 114
115,23,5,10,1,Some Random Commen with Id 115
116,23,5,134,8,Some Random Commen with Id 116
117,24,2,135,8,Some Random Commen with Id 117
118,24,2,198,8,Some Random Commen with Id 118
119,25,2,146,5,Some Random Commen with Id 119
120,25,2,90,3,Some Random Commen with Id 120
121,27,6,127,1,Some Random Commen with Id 121
122,27,6,60,6,Some Random Commen with Id 122
123,27,6,31,9,Some Random Commen with Id 123
124,28,5,156,4,Some Random Commen with Id 124
125,28,5,159,9,Some Random Commen with Id 125
126,28,5,198,6,Some Random Commen with Id 126
127,28,5,146,9,Some Random Commen with Id 127
128,28,5,186,5,Some Random Commen with Id 128
129,28,5,145,5,Some Random Commen with Id 129
130,28,5,52,9,Some Random Commen with Id 130
131,28,5,97,4,Some Random Commen with Id 131
132,28,5,49,6,Some Random Commen with Id 132
133,29,0,18,7,Some Random Commen with Id 133
134,29,0,186,8,Some Random Commen with Id 134
135,29,0,100,8,Some Random Commen with Id 135
136,29,0,188,2,Some Random Commen with Id 136
137,31,6,81,0,Some Random Commen with Id 137
138,31,6,122,3,Some Random Commen with Id 138
139,31,6,34,2,Some Random Commen with Id 139
140,31,6,179,1,Some Random Commen with Id 140
141,31,6,54,9,Some Random Commen with Id 141
142,31,6,9,4,Some Random Commen with Id 142
143,31,6,58,6,Some Random Commen with Id 143
144,31,6,62,9,Some Random Commen with Id 144
145,32,3,113,8,Some Random Commen with Id 145
146,32,3,143,6,Some Random Commen with Id 146
147,32,3,51,3,Some Random Commen with Id 147
148,32,3,48,3,Some Random Commen with Id 148
149,32,3,35,5,Some Random Commen with Id 149
150,32,3,45,0,Some Random Commen with Id 150
151,32,3,60,8,Some Random Commen with Id 151
152,32,3,53,6,Some Random Commen with Id 152
153,33,6,113,0,Some Random Commen with Id 153
154,33,6,61,1,Some Random Commen with Id 154
155,33,6,98,0,Some Random Commen with Id 155
156,33,6,73,1,Some Random Commen with Id 156
157,34,9,86,7,Some Random Commen with Id 157
158,34,9,129,8,Some Random Commen with Id 158
159,34,9,57,1,Some Random Commen with Id 159
160,34,9,129,5,Some Random Commen with Id 160
161,34,9,30,2,Some Random Commen with Id 161
162,34,9,133,0,Some Random Commen with Id 162
163,34,9,102,7,Some Random Commen with Id 163
164,35,1,121,5,Some Random Commen with Id 164
165,37,1,16,8,Some Random Commen with Id 165
